s1, s2, s3, s4, s5, s6, s7, s8, s9, s10, s11, s12
28100,29164,34101,37322,33396,30747,33064,20150,29751,32422,28430,33420
28426,29209,34193,37392,33472,30794,33116,20315,29791,32495,28207,33452
28413,29207,34122,37418,33223,30793,33139,20130,29790,32619,28255,33496
28414,29166,33966,37433,33321,30755,33013,20008,29851,32550,28027,33473
28550,29097,33935,37339,33202,30790,33019,20066,29833,32508,27918,33472
28113,28895,33503,37155,32780,30778,33144,20128,29860,32474,23646,33601
27435,27743,33047,36183,32804,30881,33907,20625,30215,32023,24813,34527
26758,27545,32714,35002,31955,30718,34189,22165,30002,32134,25149,35471
26799,27521,32782,34577,31587,30575,33694,20587,30860,31323,29252,34371
26676,26968,32913,34590,31478,30111,33137,20276,30895,31522,24701,33399
26723,26715,33340,35499,32008,30006,33424,20474,31089,31843,24460,32977
26699,26569,33385,35075,32195,30100,34201,26431,28449,32819,25794,31930
26948,26721,33834,35408,32685,30223,34080,32494,28812,34617,26782,31255
26981,26906,33921,35173,32261,30006,33360,32581,30546,33538,30737,29829
26623,26882,33840,34811,32149,29564,32938,32185,30693,34449,29162,29264
26937,26962,33824,34449,32105,29867,32911,31315,30783,34387,29253,28967
26585,26861,33604,34346,32032,29878,33178,31600,30620,34303,28830,28768
27120,26909,33469,34462,32062,29840,34516,32287,30634,34479,25599,28829
27693,26949,33419,34841,32089,29585,35294,32844,30558,34718,25557,28886
27346,26953,33644,35233,32110,29723,35240,32813,30585,34575,26795,29042
27191,26957,33725,35112,32124,29885,33975,30802,31642,34289,27935,29295
27642,26948,34119,35347,32124,29979,33826,29761,31796,34349,27902,29353
27860,27008,34434,35404,32110,30045,33870,28349,31798,34640,27433,29639
28007,27089,34522,35583,32174,30084,34279,28861,30874,35041,26622,30132
28327,27094,34205,36067,32355,29718,34952,30928,29103,34987,25929,30426
28530,27201,34107,36021,32436,29623,35116,31185,28477,34430,25519,31687
28547,27225,34078,36022,32476,29651,35146,29508,27560,34002,25688,33607
28450,27253,34052,36065,32321,29722,35190,26745,27327,33739,25881,34408
28117,27382,34037,36001,32209,29826,35336,25900,27926,33269,25190,35688
28077,27406,34016,36072,32216,30206,35432,25393,28953,32879,25295,36400
28090,27534,33716,35984,32139,30811,35551,24907,29107,32818,25716,36489
27383,27618,33121,35573,31968,30639,35648,25047,29292,33227,26384,36789
26490,27541,33037,34799,32157,30101,36050,23607,29569,34297,25986,36130
30022,28890,34964,36842,33502,30247,34945,19806,30063,33852,25626,34724
30403,29490,35149,37214,33459,30331,34879,19855,30378,33315,26736,33829
29513,29563,34903,37336,33518,30377,34468,19698,30458,32878,27614,33401
29296,29523,34693,37282,33660,30286,34108,19644,30375,32949,27749,33300
28615,29505,34537,37343,33811,30216,33977,19555,30281,32939,27985,33270
28463,29452,34212,37227,33600,30175,33564,19444,30105,32692,27876,33195
28364,29409,34152,37206,33473,30267,33424,19376,30179,32586,27596,33208
28494,29390,34209,37188,33457,30380,33321,19609,30077,32492,26986,33630
28647,29359,34200,36970,33494,30560,33251,19794,30115,32535,26281,33723
28889,29254,34091,36888,33421,30633,33030,19709,30182,32438,26353,33632
28842,29232,34037,36880,33398,30650,32919,19405,30085,32422,26329,33484
28792,29159,33945,36804,33190,30700,32911,19175,29977,32391,26291,33412
28559,28753,33693,36282,32395,30626,32725,18997,29951,32281,26232,33220
28038,28008,32809,35419,33399,30272,32519,17322,28472,31315,26486,33598
27675,27682,32622,34307,31883,30754,32228,21772,30234,32444,27129,32303
27500,27748,32848,34371,31858,30620,32580,22113,30035,32185,26407,33271
27605,27809,32895,34343,32002,30653,33118,22222,30216,32409,26888,32853
