s1, s2, s3, s4, s5, s6, s7, s8, s9, s10, s11, s12
24919,26231,31580,32964,30999,28242,34121,37407,36261,33256,22781,30045
24721,26252,31502,32759,31119,28328,34027,37062,36362,33176,23389,30211
24696,26339,31464,32727,31038,28442,34061,37493,36567,33195,23870,30351
24503,26432,31542,33005,30964,28501,34125,37622,36729,33137,24298,30506
24710,26499,31585,33157,31020,28471,34263,37737,36995,32938,24424,30607
25817,26096,31012,33221,31179,27772,34407,33070,36799,32884,23700,31103
25288,26287,30510,34029,31539,27174,34490,29181,36913,31758,21819,33044
25497,26899,31366,34831,30895,27273,34573,24293,36292,32738,22890,34101
26201,27436,31314,34782,31359,26986,33746,23826,36168,32275,23460,33547
26225,27581,31314,34879,31368,27088,33482,23967,35863,31497,23826,32542
26668,27768,31674,34583,31188,27084,33148,24057,35631,30834,22946,31421
27007,27516,32102,34974,31963,27014,32777,23275,35911,30951,23249,31121
24747,26289,30555,33940,31519,27208,32344,23122,35029,32460,23114,29999
25612,25913,30960,33406,30865,27984,33280,34817,36146,34033,23137,29604
25636,25874,30976,32523,31089,28462,33853,37541,36646,34250,23300,29622
25799,26152,31674,32717,30982,28545,33801,36701,36884,34482,27100,29781
25660,26114,31608,32668,31045,28687,34032,37483,36907,34485,27563,30163
25241,26306,32009,32920,30937,28756,34182,37617,37054,34519,27639,30342
24984,26277,31953,33104,30934,28800,34242,37510,37282,34378,27675,30357
24927,26196,31812,32940,30965,28425,34143,36430,36211,33876,23656,31220
24820,25748,30994,33024,31374,27265,34380,32982,36435,33074,22017,32067
24590,26782,30090,33805,31798,27204,34683,25535,37212,32566,26345,33450
25431,27172,31303,34789,31456,27011,34008,24338,36768,32020,22954,33118
25062,27530,31004,34937,31380,26840,33760,24420,36537,31711,23223,32954
25398,27790,31022,34924,31749,26934,33613,24535,35581,31082,22872,32201
25861,27833,31703,35024,31806,26802,33385,24685,35257,30995,22949,31208
27025,27429,32909,34882,31550,26719,32910,23907,34924,31190,22892,30766
25455,26677,30069,33470,33486,27148,33372,25286,36751,32778,22685,30410
25310,25860,30187,32797,31109,27879,33567,34852,35657,32846,23000,30088
25649,25959,31667,32596,30975,28194,33707,35080,36143,33197,22686,30035
25415,26135,31963,32920,31235,28415,34122,37157,36607,33253,25973,30017
25416,26213,31952,32711,31254,28585,33960,37399,36620,33246,26355,30078
25038,26227,31886,32626,31006,28578,33841,37363,36553,33234,25755,30222
26315,26254,31714,32614,30884,28550,34125,37738,37135,33208,26705,30671
26645,26116,31060,32799,30918,27751,34104,34153,36706,32660,21954,30911
26148,25945,30882,33732,31374,27319,34065,30017,37124,32089,21074,32057
25933,26192,30996,33984,30808,27056,33964,24832,36861,32944,21212,33470
26948,26993,31512,34488,31059,27227,33564,24480,36361,31915,21398,33163
25971,27376,31315,34684,31380,27156,33528,24280,36085,31769,22142,32763
25873,27498,31225,34850,31481,27138,33466,24157,35904,31601,22330,32551
26270,27713,31584,35037,31640,27353,33298,23715,35526,31380,22385,32367
27262,27251,33787,34244,31472,27156,33295,24115,34895,31231,22213,30790
26647,27000,30746,33737,33744,27315,33909,26626,35985,33139,21759,30974
25335,25864,31065,33015,31449,28271,33167,31288,35906,33364,22515,30156
25472,26017,33246,32758,31189,28566,33633,33276,36093,33727,22506,29973
25559,26072,33317,33069,31103,28925,33702,35800,36377,33632,22722,29801
25742,26158,33073,32821,31135,29122,33483,35774,36624,33641,23080,29837
25808,26195,33055,32757,31022,29085,33459,35420,36727,33577,23749,30089
25802,26253,33134,32823,30924,29106,33565,33258,36816,33480,23594,30702
24933,26232,32254,32921,31054,28644,33505,32610,37123,33385,23543,31008
25159,25679,31203,32955,31209,28137,33498,31060,37254,32367,22576,32000
24951,25850,30130,33792,31009,27008,33861,25879,37380,32389,22209,33452
26152,27151,31734,34682,31156,27371,33606,24032,36999,31875,22421,33192
25045,27566,31762,34670,31672,27376,33506,23944,36677,30622,23253,32528
24966,27540,31452,34889,31192,27742,33446,24939,35812,30598,22768,31709
25320,26086,30352,32185,31670,27922,31925,25062,36595,31918,23495,30913
25777,25945,30279,32771,31353,27531,33434,26735,37548,33431,23405,30240
25555,25961,30027,32580,31275,27974,33372,32229,36893,33248,22802,29725
25812,26263,30719,32711,31375,28381,33991,36871,36811,33641,22603,29695
24897,26484,31282,32735,31377,28480,34111,37351,37539,33865,26299,29719
24707,26495,31255,32717,31359,28592,34104,37131,37672,33760,26139,29743
24920,26575,31873,32704,31220,28731,34233,37112,37826,33684,25931,29745
26217,26486,31952,32738,31085,28728,34300,36705,38117,33779,25833,30140
26332,26320,31210,33112,31302,28155,33835,32187,37368,33030,23060,31703
25840,26239,30106,33961,31815,27214,34144,29858,37824,31775,21458,32421
26352,26875,29716,34582,30680,27449,34051,25169,37675,32717,22212,33616
26293,27265,29767,34668,31735,27430,33463,24382,37397,31723,22759,32918
25730,27455,29946,34730,31801,27355,33355,24143,37211,31403,23286,32319
25991,27563,29936,34935,31402,27375,33293,24204,37433,31367,22871,32201
25770,27525,31379,34830,31480,27387,32576,24096,36968,31641,23333,31385
24718,26368,29148,33349,32404,27368,32238,22609,37019,33324,25679,30262
25829,26460,29737,33855,30711,27782,33436,31941,35643,34457,23592,30013
25834,26214,29754,32915,31021,28289,33646,36643,36603,34794,23348,30089
25528,26344,30401,32830,31309,28342,33691,35065,37098,34796,23200,29866
25049,26428,30908,32797,31111,28543,33889,36082,37062,34835,23140,29903
24255,26553,31781,32748,31137,28746,33916,36683,37392,34729,23200,29935
24433,26663,32200,32756,31175,28995,33984,36654,37720,34618,23138,29836
24474,26669,32245,32802,31209,29227,33971,35635,38187,34353,23880,30261
24868,26484,31180,33499,31697,28367,33772,30636,38170,33257,27913,30908
25363,26396,29440,34330,32020,27837,33755,29042,38192,32799,22320,32271
25215,26898,29209,34851,30992,27390,34323,25260,37880,32927,21828,33358
25360,27420,31180,35070,31847,27358,34005,24520,37717,32400,21772,32883
25063,27516,31022,35060,31407,27297,34008,24860,37495,31918,21805,32749
